water_year,flow_ojinaga_nat,flow_ojinaga_reg,flow_camargo_nat,flow_amistad_nat,flow_amistad_reg,flow_lvsdsr_nat,conchos_capture_af,capture_pct_natural,amistad_capture_af,ojinaga_reg_5yr,decade
1995,666874.973995537,75963.527,7170988.841969258,4864908.568,1617246.8281180803,68786.49383487829,590911.446995537,88.6,3247661.7398819197,269447.5756000002,1990s
1996,2445650.996175837,85448.83399999999,6879490.92495127,5185057.947000001,1401935.8461033602,60378.541814383134,2360202.162175837,96.5,3783122.1008966407,164930.8424000002,1990s
1997,999711.3569389237,227647.36800000002,6620076.470123181,5336903.93,1151144.0955388802,112805.38576280643,772063.9889389237,77.2,4185759.8344611195,112429.26280000019,1990s
1998,539126.0414420499,74098.89400000001,6197159.673830289,4177588.63,1940251.12562592,234244.15578361083,465027.14744204987,86.3,2237337.50437408,123973.77320000017,1990s
1999,1315208.1135979819,98987.69099999999,7760386.26551584,5321986.866,1594694.3287104,321755.41322725633,1216220.422597982,92.5,3727292.5372896004,134156.29080000016,1990s
2000,1059443.4062090102,133686.079,4558180.503183875,3532344.541,1372575.6397123202,129862.9981990006,925757.3272090101,87.4,2159768.90128768,102960.17000000019,2000s
2001,734947.407546464,136361.42200000002,7138942.352533195,4136080.2780000004,1471346.5792867201,77131.15055255449,598585.985546464,81.4,2664733.6987132803,99393.04600000018,2000s
2002,970793.7044922399,71666.764,6133669.168176479,2769142.147,1124559.8899014401,191135.1182172009,899126.9404922399,92.6,1644582.2570985598,141663.4654000002,2000s
2003,557574.0343642154,56263.27399999999,8327730.222276312,3105181.442,1579850.20266768,237362.09754806935,501310.7603642155,89.9,1525331.2393323197,153775.4728000002,2000s
2004,1144323.0037658485,310339.788,13158880.526643252,4239121.519,1891505.16982944,603356.232055847,833983.2157658485,72.9,2347616.34917056,192851.6948000002,2000s
2005,1695921.691696376,194246.116,11146234.664431736,6334077.23,1754383.0035081601,426631.13051936874,1501675.5756963762,88.5,4579694.226491841,240099.8736000002,2000s
2006,2958042.132274098,331742.532,10261895.910889255,5803548.606,1687492.5018019201,150867.4949197587,2626299.600274098,88.8,4116056.1041980796,554736.4246000003,2000s
2007,1020838.2737322988,307907.65800000005,8728684.242019385,4777189.746,2779003.62344,198425.02305443393,712930.6157322987,69.8,1998186.12256,658750.5176000001,2000s
2008,4190669.5945626968,1629446.029,13526135.631832737,8184847.089,2287976.0983368,292973.7939914933,2561223.5655626967,61.1,5896870.9906632,694989.2546000002,2000s
2009,1072439.943831987,830410.2530000001,10109288.03681868,4097085.1270000003,2412395.7701439,177367.83870585932,242029.69083198684,22.6,1684689.3568561003,,2000s
2010,1157823.6945650126,375439.80100000004,22087121.84044088,4162022.998,7152557.3340672,2495570.2437124713,782383.8935650126,67.6,-2990534.3360672,,2010s
